name,category,lat,lng,address,municipality,barangay,hotline,bed_capacity,trauma_er,facility_level,capacityInfo
PAC swimming pool,government,15.21246,120.696434,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
Razon's,supermarket,15.030552,120.675194,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · restaurant
Cebu Pacific Simulator,school,15.182997,120.512718,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Evacuation Shelter / Education Facility,High-Ground Evacuation Shelter · Relief Goods Depot
Uncle John's,supermarket,15.175864,120.521181,"Jose Abad Santos Avenue, Clark Freeport, Pampanga",Clark Freeport,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · convenience
Cafe Mesa,supermarket,15.18162,120.521808,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · restaurant
Lomi House,supermarket,15.181432,120.543287,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · restaurant
sarisari store,supermarket,15.23248,120.52705,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · convenience
Alfamart,supermarket,14.872256,120.861374,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · convenience
BMD Isuzu Motors,supermarket,14.878448,120.864437,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · car
Freeway Mitsubishi Motors,supermarket,14.954283,120.886102,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · car
Hotel Pulilan,government,14.896729,120.872737,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
Home Depot,supermarket,14.942691,120.881789,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · supermarket
Bulalo Republic Restaurant,supermarket,14.933436,120.878511,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · restaurant
Blu Circle Motors,supermarket,14.86836,120.860499,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · car_repair
Chooks to Go,supermarket,14.871628,120.861629,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · fast_food
JD Auto Parts,supermarket,14.922289,120.874093,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · car
Monrovia Court,government,14.936867,120.879434,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
Red Oil,gas_station,14.914939,120.872462,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Fuel Station,Gasoline & Diesel Fuel · Operational Fuel Point
Green Haven Hotel,government,14.908031,120.870043,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
Nakama Restuarant,supermarket,14.943966,120.881894,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · restaurant
Nissan Baliuag,supermarket,14.947482,120.882899,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · car
Grand Industrial Estate,government,14.885678,120.876555,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
Regional Trial Court Angeles City,government,15.165365,120.60824,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
Carmenchu sa Bukid Resort,government,14.95444,120.875641,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
Republic Central Colleges,school,15.105911,120.618431,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Evacuation Shelter / Education Facility,High-Ground Evacuation Shelter · Relief Goods Depot
Angeles International Travel Center,supermarket,15.165247,120.575026,"Malabanias Road, Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · travel_agency
Jose C. Feliciano College,school,15.181507,120.594153,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Evacuation Shelter / Education Facility,High-Ground Evacuation Shelter · Relief Goods Depot
Jollibee,supermarket,14.818174,120.905814,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · fast_food
BistroVerde Bacolor,supermarket,15.000785,120.643176,"Jose Abad Santos Avenue, Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · restaurant
London Pub,government,15.182363,120.521031,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
Nathaniels,supermarket,15.041609,120.684638,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · restaurant
Clark Aviation,school,15.181681,120.512426,"Jose Abad Santos Avenue, Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Evacuation Shelter / Education Facility,High-Ground Evacuation Shelter · Relief Goods Depot
Car Wash Sevices,government,15.161968,120.595475,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
Grill 99,supermarket,15.141781,120.578054,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · restaurant
Pandatung Barangay Hall,government,14.823299,120.468032,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
Pandatung Health Center,hospital,14.824635,120.469095,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,20,False,Primary Health Clinic / RHU,20 Beds · Hotline: (045) 961-0000 / 911
del Mundo sari-sari store,supermarket,15.222869,120.66156,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · convenience
Riverside Tricycle Station,government,15.223034,120.661686,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
7-Eleven,supermarket,14.949306,120.758971,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · convenience
Jollibee,supermarket,14.950074,120.758914,"MacArthur Highway, Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · fast_food
Southstar Drug,pharmacy,14.950296,120.758936,"MacArthur Highway, Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Pharmacy & Medical Supplies,"First-Aid, Essential Medications & Antibiotics"
St. Vincent's Academy,school,14.952032,120.763595,"Gonzales Avenue, Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Evacuation Shelter / Education Facility,High-Ground Evacuation Shelter · Relief Goods Depot
Ang Dating Daan Parking Area,government,14.959293,120.761554,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
Bistro Van Gough,supermarket,15.085384,120.63455,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · restaurant
Saint Agustine Institute,school,14.97919,120.752725,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Evacuation Shelter / Education Facility,High-Ground Evacuation Shelter · Relief Goods Depot
Patio,government,15.214143,120.661619,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
Suing's Hardware,supermarket,15.215021,120.661535,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · hardware
Mercury Drug,pharmacy,15.039691,120.680342,"MacArthur Highway, Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Pharmacy & Medical Supplies,"First-Aid, Essential Medications & Antibiotics"
RCBC,supermarket,15.079068,120.639878,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · bank
Paskuhan Village,government,15.050378,120.692659,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
SM Department Store,supermarket,15.051985,120.698776,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · department_store
Robinsons Starmills,supermarket,15.049964,120.698962,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · supermarket
Pampanga's Best,supermarket,15.039433,120.68181,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · butcher
Puregold,supermarket,15.039622,120.679573,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · supermarket
Aurely's Bakeshop,supermarket,15.05207,120.662841,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · bakery
Pampanga Sports Complex,government,15.030536,120.686753,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
Bren Z. Guiao Convention Center,government,15.02951,120.687118,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
Crime Lab,police,15.019262,120.704148,"Pampanga, Pampanga",Pampanga,Central,117 / 911,0,False,Police Station / Law Enforcement,24/7 Security & Search and Rescue Standby
PNB,supermarket,14.951944,120.758888,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · bank
J. Santos Pharmacy,pharmacy,14.951891,120.758927,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Pharmacy & Medical Supplies,"First-Aid, Essential Medications & Antibiotics"
Metrobank,supermarket,14.952078,120.758893,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · bank
Payless Store,supermarket,14.941608,120.763529,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · convenience
Romantic Baboy,supermarket,15.044143,120.674135,"MacArthur Highway, San Fernando, Pampanga",San Fernando,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · restaurant
SFELAPCO Private Parking,government,15.027808,120.690868,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
Garbes-Dizon Supermarket,supermarket,15.033341,120.691283,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · supermarket
Efren's shop,supermarket,15.215809,120.663755,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · car_repair
Bakery Store,supermarket,15.223074,120.661551,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · bakery
Dimsum vs Sushi,supermarket,15.043757,120.688178,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · restaurant
Vulcanizing Store,supermarket,15.160306,120.610298,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · vulcanizing
Hardware Store,supermarket,15.160281,120.610358,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · hardware
Apung Tony,hospital,15.273183,120.658035,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,20,False,Primary Health Clinic / RHU,20 Beds · Hotline: (045) 961-0000 / 911
PNB,supermarket,15.033321,120.688261,"MacArthur Highway, San Fernando, Pampanga",San Fernando,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · bank
Metrobank,supermarket,15.028046,120.691527,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · bank
Mercury Drug,pharmacy,15.0288,120.694208,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Pharmacy & Medical Supplies,"First-Aid, Essential Medications & Antibiotics"
Cafe Fernandino,supermarket,15.033613,120.686963,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · restaurant
Susie's Cuisine,supermarket,15.041642,120.676863,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · restaurant
McDonald's,supermarket,15.028652,120.692261,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · fast_food
7-Eleven,supermarket,15.029043,120.692687,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · convenience
Security Bank,supermarket,15.0394,120.679876,"MacArthur Highway, San Fernando, Pampanga",San Fernando,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · bank
Sterling Bank of Asia,supermarket,15.044622,120.67315,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · bank
Southstar Drug,pharmacy,15.145235,120.595603,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Pharmacy & Medical Supplies,"First-Aid, Essential Medications & Antibiotics"
K2 Pharmacy,pharmacy,15.145123,120.595641,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Pharmacy & Medical Supplies,"First-Aid, Essential Medications & Antibiotics"
McDonald's,supermarket,15.145409,120.595453,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · fast_food
Bonanza Hotel,government,15.167238,120.594568,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
Mercury Drug,pharmacy,15.07806,120.640696,"MacArthur Highway, Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Pharmacy & Medical Supplies,"First-Aid, Essential Medications & Antibiotics"
Balagtas Fire Department,fire_station,14.817611,120.908481,"Pampanga, Pampanga",Pampanga,Central,160 / 911,0,False,Fire & Rescue Station,Fire Pumper Engines & Emergency Water Rescue
SM Pampanga Annex 4 Parking Front,government,15.051647,120.7021,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
SM Supermarket,supermarket,15.053544,120.698669,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · supermarket
Uncle John's,supermarket,14.839126,120.858831,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · convenience
Panginay Barangay Hall,government,14.817471,120.89079,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
Sangguniang Pambarangay ng Panginay,government,14.818522,120.89598,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
K Servico,supermarket,14.81737,120.906948,"MacArthur Highway, Balagtas, Pampanga",Balagtas,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · electronics
Balagtas Police Station,police,14.817645,120.90823,"Pampanga, Pampanga",Pampanga,Central,117 / 911,0,False,Police Station / Law Enforcement,24/7 Security & Search and Rescue Standby
PNB,supermarket,14.816251,120.90972,"MacArthur Highway, Balagtas, Pampanga",Balagtas,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · bank
BDO,supermarket,14.816164,120.909831,"MacArthur Highway, Balagtas, Pampanga",Balagtas,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · bank
Landbank,supermarket,14.814408,120.911212,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · bank
Sky,government,14.813802,120.911854,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
Vista Lodge,government,14.813015,120.912778,"MacArthur Highway, Pampanga, Pampanga",Pampanga,Central,+63 44 693 2020,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
Our Lady Manaoag Montessori College,school,14.811669,120.914528,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Evacuation Shelter / Education Facility,High-Ground Evacuation Shelter · Relief Goods Depot
Mercury Drug,pharmacy,14.819173,120.90513,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Pharmacy & Medical Supplies,"First-Aid, Essential Medications & Antibiotics"
Santa Rita Mini Market,supermarket,14.853975,120.86056,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · marketplace
San Roque Chapel,government,14.872125,120.861528,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
F M Cruz Ortopedic,hospital,14.906521,120.869597,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,20,False,Primary Health Clinic / RHU,20 Beds · Hotline: (045) 961-0000 / 911
BDO,supermarket,14.90373,120.868491,"Doña Remedios Trinidad Highway, Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · bank
Sizzling House,supermarket,14.905129,120.86894,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · restaurant
Max's Restaurant,supermarket,14.903087,120.868272,"Doña Remedios Trinidad Highway, Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · restaurant
Green Heaven Hotel,government,14.908206,120.869635,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
Bonita Travel Inn,government,14.91524,120.871936,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
BPI,supermarket,14.886097,120.867596,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · bank
Chowking,supermarket,14.817899,120.906229,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · fast_food
BDO,supermarket,15.034339,120.686134,"MacArthur Highway, San Fernando, Pampanga",San Fernando,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · bank
Aurely's Bake Shop,supermarket,15.032544,120.688651,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · bakery
AMA Computer University,school,15.031824,120.689457,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Evacuation Shelter / Education Facility,High-Ground Evacuation Shelter · Relief Goods Depot
Mercury Drug,pharmacy,15.032043,120.689281,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Pharmacy & Medical Supplies,"First-Aid, Essential Medications & Antibiotics"
EMC Tire Supply,supermarket,15.038094,120.681468,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · tyres
Convenience Store,supermarket,15.034126,120.687115,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · convenience
Metrobank,supermarket,15.031851,120.689427,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · bank
Saint Ferdinand Medical Arts Building,hospital,15.032242,120.68903,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,20,False,Primary Health Clinic / RHU,20 Beds · Hotline: (045) 961-0000 / 911
Greenwich,supermarket,14.818107,120.905929,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · fast_food
Sabitan Chapel,government,14.837488,120.810468,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
Jollibee,supermarket,14.84312,120.812286,"M. Crisostomo Street, Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · fast_food
Super8,supermarket,14.854323,120.81552,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · supermarket
Chowking,supermarket,14.853035,120.816001,"MacArthur Highway, Malolos, Pampanga",Malolos,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · fast_food
Mercury Drug,pharmacy,14.852324,120.816671,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Pharmacy & Medical Supplies,"First-Aid, Essential Medications & Antibiotics"
Grandma's Supermarket,supermarket,14.852086,120.816962,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · supermarket
Bank of the Philippine Islands,supermarket,14.844643,120.811005,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · bank
Producers Bank,supermarket,14.841435,120.811865,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · bank
